key,T,C,A,CIEP
2,thannia,thannia,ms-lucialauciathanniamr-,2
1,tularspu,,boundaries,3
4,visl,vi(p)s(ia)l,of-the-goddess-vipsi,3
5,--echtatr--,,,3
2,,papsinas,ofmr-aulepapsinamr-lariss,4
1,mivetiestvelasnas,,,7
1,,tular a(inpu v(el)ch(us),boundariesof-the-townlawfullyand-protected-under-the-divineprotectionof-the-goddess-vipsiofmr-velch,8
2,,cl(en)t(ar),,8
1,,tapsina,mr-laristapsinamr-aules,9
1,milarissanesnas,,,13
3,,pui(a)l,,15
1,,mi arnth(i)al prastnas,,16
1,,ceicna caspu,,19
1,,tlaboni(vs),mr-luciuscaecinatlaboniusmrluciusssonlivedfor-yearsfor-,22
1,,armn(i)al,,30
1,,ravnthu supnai(al),mr-ravnthumrs-supnaismr-larissof-ageof-,31
1,,selcia(s),,32
1,,felmui(al),,35
1,,ceicna a(ulial),mr-larisceicnamrs-aulis,38
2,atichu,,built,47
6,,trec(e)s,mr-sethtrecesandmrs-lariseitreces,48
2,,muceti(e)s,muceties,49
3,cneunas,cneunas,cneunas,49
1D,mileasiese--,,,50
1,,mi ma(rces),,51
1,thusathur,,herethe-bones,52
13A,,v(el){ }i(al),mr-larismrs-velismscaplineimr-fuluna,52
13B,,thuscv(a) fvimv(a),,52
1B,,mazutiu,mr-aulecaplinamr-fulunamr-mazutiu,52
3,fluthupit,,mr-svaflusherethey,52
3,a--l------,,mr-auleslave,52
3A,,supni(al),mr-veliamrs-supnismrs-velanis-daughters-husband,52
4,aisecetati,aisecetati,,52
4A,,supni(al),mr-veliamrs-supnisms-ceicnis-daughters-husband,52
6A,,calati(al),mr-veliavelusnamr-velsmrs-calati,52
8A,,larthru fulnei(al),mr-larislarthrumrs-fulneis,52
2,,vipin(i)al,mrs-vipinismrtraulchniesslavegirl--,53
1,,cevlna setres,mr-setrecevlnamr-setres,65
1,setrecneuna,,mr-setrecneuna,70
1,,velchinei atial turce,,76
1A,,velchinei,ithe-dedicatory-statueofmr-larthiaofsienams-,76
1,,larthi prenthrei(al),,93
1,,saucni(al),,97
3,suplu,,suplus,99
2,presntessa,presntessa,,100
2,rutlnis,rutlni(e)s,rutlnies,101
3,avlesla,,,101
1,,xxiiix,,104
1,,ravntza,,109
1,,mi ma(rces) suthi,,118
1,,apun(i)al,,125
1,,pecse alpuialisa,,126
1,,felmu,mr-larisfelmumr-larths,128
1,,vipin(i)al,mr-larcemr-lariss,133
1,,hermaeii t(iti),,134
2A,--------xi--------------os,,mr-luciussgrandsonhe-livedfor-years,140
2B,,se(thusausa),of-mr-larismrs-versnismr-seths-daughters-husband,142
4,------------------------------------------------------lth------------------------,,mr-larthetruscamrs-arnthismr-larths,143
1A,thafaalki,,ms-thafaalki,144
2A,lathunikai,lathunikai,lathunikai,144
1A,tsv,,inspectors-of-entrailslie-here,147
2B,,l(ar)th,mr-larthetruscamr-acheliesmr-aules-daughtershusband,147
3B,atetzc,,mr-larthurinatemr-titesheadman,147
1,------------ti,,ms-larti,148
1,,cainai(al),mr-aulimrs-cainais,150
1,,ceicna fetiu(s),,155
1,,l(ar)th pr(enthres) a(ulesa),,156
1,,prenthrei(al),mr-thanamrs-prenthreismr-carcnas,161
1,,masni(al) aviles,ms-velimrs-masnis,168
2,laucha,,,173
1,thui,,here,174
1,larthnusununa,,mr-larthnusununa,175
3,nalisa,,,175
1,milalausa,,,176
2,miakas,,i--by-mr-larislausa--,176
3,ca----s----ipneicice,,,176
2,caias,,,178
1,arntvetearntha,,mr-arntvete,179
1,larthvetearn,,mr-larthvete,181
2,thalisathuilar,thui,mrs-arnthis-daughtershusband,181
3,thveteline,,mr-larth,181
2,vetela,,,188
2,rthveteline,,,191
2,,larn(i)al,mrs-larisis-daughters-husband,192
1,,mi murs,,195
3,lathlapeirulilmulune,,,195
4,,mi murs,ithe-ossuaryof-mr-arnththrupete,195
1,thanautaunei,,mrs-thaniautaunei,197
2,larthiasrutznei,,of-mr-larthiamrs-rutznei,198
4,,a(r)n(th) mi,,200
2,larthalisa,larth(i)alisa,mrs-larthis-daughters-husband,206
3,raufe,raufe(s),,206
2,venatnal,,,207
1,arntaneini,,mr-arntmrs-aneinisdaughters-husband,208
2,prumathnal,,,208
2,prumathnal,prumathn(i)al,,209
1,,arnth prumathni(alisa) arnth(i)al,mr-arnthmrs-prumathnisdaughters-husbandmrs-arnthis,211
2,,aspesa,mr-veliasmrs-utimnis,212
1,vezaceinazesialissa,,,214
2,manalcu,,,216
3,lce,,,216
1,aulnal,auln(i)al,mrs-aulnis,218
2,nuvpllni,nuvpllni,,218
1,larthi velnei(al),,,221
2,pilnpac,,,222
1,,v(e)l(us),mr-thanacaupnemrs-larisismr-vels,223
1B,,velchatin(i)al,,229
1A,iacvenle,,mr-lariscvenle,232
1B,mthinal,,,232
2B,mthinal,,mrs-mathinis,232
1B,methna,,,233
1,,p(uple) cvenape mi,mr-puplecvenapemrs-larisis,235
1B,anainal,anain(i)al,,245
2,mulnanes,mulnanes,,247
1,larthtite,,mr-larthtite,249
2,lumscial,,,250
1,,sesctna,,251
2,anthualtesnasa,,mrs-arnthuismr-tesnasdaughters-husband,252
3,,sescatna,mr-aulesescatnaalso-mrsarnthuis,252
4,pesnasa,pesnasa,,252
1,elisnal,,mrs-velisnis,254
3,raufesa,raufesa,,255
2,ateinalisa,atein(i)alisa,,257
1,fzne,f(a)z(e)ne,,258
2,petrnis,petrni(e)s,,259
2,afvuies,,mr-afvuies,260
