,Etruscan,Translations,POS,Is inferred,Is suffix,Abbreviation of,Suffix indexes,city name,place name,name,epithet,theo,cogn,prae,nomen,nom,acc,masc,fem,nas-part,nasa-part,u-part,θ-impv,θ-part,θas-part,as-part,act,pass,non-past,past,impv,jussive,necess,inanim,anim,indef,def,deictic particle,enclitic particle,enclitic conj,dem,adv,art,conj,post,pro,rel,subord,neg,num,1st gen,2nd gen,1st abl,2nd abl,loc,1st pert,2nd pert,1st pers,2nd pers,3rd pers,pl,gen,abl,pert,TAG
0,isa,"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,ADP
1,iσ'a,"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,PRON
2,x,"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRT
3,iσ'la,"((True, 'the'),)",def art 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,DET
4,cle,"((True, 'the'),)",dem pro loc,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,1,0,0,,,,,False,False,False,ADP
5,.σ'.la,"((True, 'the'),)",def art 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,PRON
6,śva,"((True, 'the'),)",def art nom pl,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,1,False,False,False,ADP
7,sla,"((True, 'the'),)",dem pro 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,1,0,0,0,0,0,,,,,True,False,False,CONJ
8,σ'la,"((True, 'the'),)",def art 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,PRON
9,pi,(),enclitic particle,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,DET
10,um,"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRT
11,iśa,"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,DET
12,ca,"((True, 'this'),)",dem pro nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,0,0,0,,,,,False,False,False,PRT
13,ta,"((True, 'this'),)",dem pro nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,0,0,0,,,,,False,False,False,CONJ
14,ta,"((True, 'the'),)",dem pro nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,0,0,0,,,,,False,False,False,ADP
15,t,"((True, 'in'), (True, 'on'))",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,ADP
16,iśvla,"((True, 'the'),)",def art pl 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,1,0,0,0,0,0,,,,1,True,False,False,CONJ
17,ita,"((True, 'the'),)",dem pro nom acc,False,True,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,0,0,0,,,,,False,False,False,CONJ
18,θ,"((True, 'in'), (True, 'on'))",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,PRON
19,t,"((True, 'in'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,PRT
20,ti,"((True, 'in'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,PRON
21,śvê,"((True, 'the'),)",def art pl loc,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,1,0,0,,,,1,False,False,False,DET
22,te,"((True, 'on'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,PRON
