,ID,City,Year - From,Year - To,Etruscan,Translation,key
0,ETP 192 ,Ager Tarquiniensis,275.0,250.0, cleusinas : laris : larisal : clan ," Laris Cleusinas, son of Laris. ",
1,Cr 2.20 ,Caere,675.0,650.0, mi karkanas θahvna , I (am) the container of Karkana,
2,Cm 2.46 ,Campania,500.0,450.0, mi e.i. mi.n.pi capi mi numar | θevru.c.l.na.s. | qupe.s. fulu.σ'.la ," 'Don't take me. I (am) nunar. (I am the property) of Qupe Thevrudnas, the (son) of Fulu. ",
3,ETP 269 ,,625.0,600.0, mini muluvanice tetana ve.l.ka.s.na.s. veleliiasi , Tetana Velkasnas gave me to Velellia.,
4,Ta 3.2 ,Tarquinia,580.0,580.0, itun turuce vene.l a.telinas. tinas dlniiaras , Venel Atelinas dedicated this (vase) to the sons of Tinia.,
5,ETP 251 ,Pyrgi,500.0,450.0, mi menervas , I (was dedicated) to Menerva,
6,Ru 5.1 ,Rusellae,300.0,200.0, vl • afuna • vl • pes | naliśa • cn • σ'uθi | ceriχunce ," Vel Afuna, (son) of Vel and Pesnei, built this tomb. ",
7,Ve 6.2 ,Veii,650.0,625.0, mi<ni> mamarce zinace , Mamarce made me.,
8,ETP 362 ,Ager Saenensis,600.0,600.0, [mi] [veleli]as vheisalna[ia] , I (belong to) Velelia Feysalnai,
9,Ta 7.3 ,Tarquinia,525.0,525.0, θanaχvil , Thanakhvil,
10,Cr 9.1 ,Caere,675.0,650.0, a b c d e v z h θ k l m n s o p σ q r ς t u s φ χ ,,
11,Cr 2.18 ,Caere,,, mi qutum karkanas , I (am) the wine pitcher of Karkana.,
12,Cr 2.2 ,Caere,,, mi spanti larices , I (am) the plate of Larice,
13,Vc 7.38 ,Vulci,,, eca : ersce : nac : aχrum : flerθrce ,,
14,LL 8 ,,,, trin • flere • neθunsl • une | mlaχ • puθs θaclθ θartei zivaσ fler ," say : θ spirit of Neptune, for you (?), θ good (god), the living victim, an unblemished one (?), is placed (?) on the θarte of the θac- ",
15,LL 8 ,,,, trin • flere • neθunsl • une | mlaχ • puθs θaclθ θartei zivaσ fler ," Invoke the spirit of Neptune. For him (?) the living victim, an unblemished one (?), is placed (?) on the θarte of the θac-. ",
16,Vs 2.40 ,Volsinii,,, turis : mi : une : ame ," Doris, I am for you (?). ",
17,ETP 74 ,,,, cnl • nuθe • malec • lart • celatina ... , Lart Celatina listens to (?) and watches over this legal proceeding (?).,
18,Ta 1.35 ,Tarquinia,,, σ'eθre curunas • | velus [ • ] [r]amθa[s] [ • ] avenalc | sam man • σuθ[i]θ • arce | ... , Shethre Curunas (was) (son) of Vel and Ramtha Avenei; and this (man) constructed the monument (?) in the tomb ...,
19,ETP 74 ,,,, ... cuśuθuraσ • lariśaliśvla • pêtruσc • ścêvaσ ... ," ... of the Cushu brothers, the (sons) of Laris, and of Petru Shceva... ",
20,ETP 74 ,,,, cên • zic • ziχuχe... , This document was written...,
21,ETP 285 ,,,, ein θui ara enan , (One) shall not make anything here.,
22,Vc 1.87 ,Vulci,,, eca : σ'uθic : velus : ezpus | clensi : cerine , This funerary (monument) (belongs) (to) Vel Etspu. It is constructed by his son.,
23,Pe 3.3 ,Perusia,,, auleσ'i : meteliσ : ve : veśial : clenσi | cen : flereσ : tece : śanσl : tenine | tuθineσ : χiśulicσ ," This (statue) is erected (?) for the divinity Tece Sans by the city ward (?) Khishuli (?) in honor of Aule (Meteli), son of Vel Meteli and Veshi ",
24,Cr 5.3 ,Caere,,, vel : matunas : larisaliς'a :  | an : cn : ς'uθi : ceriχunce ," Vel Matunas, (son) of Laris, he had this tomb constructed. ",
25,Cr 5.2 ,Caere,,, laris • av | le • laris | al • clenar | sval • cn • ς'uθi | ceriχunce ... ," Laris (and) Aule, sons of Laris, (while) living had this tomb constructed. ",
26,Fa 6.3 ,Falerii et Ager Faliscus,,, mi araθiale ziχuχe , I was painted by Ara(n)th.,
27,Pe 8.4 ,Perusia,,, iχ • ca | ceχa • ziχuχe , as (?) this (contract) was written above,
28,LL 6 ,,,, zaθrumsne • luśao • fler • hamφisca • θezeri ," On the 2θth (day) for (the divinity) Lusha the victim, the one from the left (?), must be immolated. ",
29,Cr 3.18 ,Caere,,, mi liceneši mulu hirsunaieši , I (am) given by Licene Hirsunaie.,
30,Fa 3.1 ,Falerii et Ager Faliscus,,, mi aliqu : auvilesi , I (am) presented by Avile.,
31,AT 1.171 ,Ager Tarquiniensis,,, arnθ : χurlces : ... zilc : parχis : amce | marunuχ : spurana : cepen : tenu : avils : maχs semφalχls lupu ," Arnth Khurkles ... was governor of the parkh (?). Having held the office of marunuc of the city (as) priest, (he) died at age seventy-five. ",
32,AT 1.108 ,Ager Tarquiniensis,,, av[le] [•] [al]eθnas • ... zilaχn[ce] | spureθi • apasi • svalas ... , Aule Alethnas ... served as governor (while) living in the community of his father,
33,Ta 1.9 ,Tarquinia,,, velθur : partunus : larisaliσ'a : clan : ramθas : cuclnial : zilχ : ceχaneri : tenθas : avil | svalθas : LXXXII ," Velthur Partunus, the son of Laris and of Ramtha Cuclni, having held the presidency on behalf of the Cekhana, having lived for eighty-two years, (died). ",
34,Ta 1.183 ,Tarquinia,,, larθ : arnθal : plecus : clan : ramθasc : apatrual : eslz :  | zilaχnθas : avils : θunem : muvalχls : lupu : ," Larth, son of Arnth Plecus and Ramtha Apatrui, having held the governorship twice died at fifty-one years. ",
35,AT 1.105 ,Ager Tarquiniensis,,, aleθnas • v • v ... papalser • acnanasa • VI • manim • arce ," 'Vel Alethnas, son of Vel, ... having produced six descendants constructed this tomb monument. ",
